Name,Lat,Lng,State
Tippecanoe Lake,41.3278239,-85.759711,IN
Lake Wawasee,41.4006032,-85.7022099,IN
Indian Lakes,41.5417166,-85.4166466,IN
Silver Lake,39.1013882,-95.8627646,KS
Guist Creek Lake,38.2067371,-85.1430101,KY
Lake Providence,32.8298513,-91.2159435,LA
Catahoula Lake,31.5123986,-92.1073531,LA
Cocodrie Lake,30.9704692,-92.4368013,LA
Eagle Lake,32.4929179,-90.993995,LA
Grand Lake,29.8938253,-92.7437547,LA
Sabine Lake,29.8224384,-93.9035011,LA
Lake Saint John,31.7173866,-91.4556733,LA
Lake Verret,29.8835368,-91.1667692,LA
White Lake,29.7413274,-92.5037479,LA
Little Lake,29.507162,-90.1431313,LA
Lake Saint Catherine,30.1285307,-89.7386711,LA
Calcasieu Lake,29.9002169,-93.2826535,LA
Lac des Allemands,29.9238165,-90.5775868,LA
Lake Maurepas,30.2540857,-90.4986984,LA
Lake Pontchartrain,30.1888098,-90.1014639,LA
Lake Salvador,29.7168781,-90.2500776,LA
Big Lake,45.1622945,-67.6963885,ME
Caucomgomoc Lake,46.208369,-69.5995041,ME
Chamberlain Lake,46.2230949,-69.295886,ME
Chemquasabamticook Lake,46.4972539,-69.6200603,ME
Chesuncook Lake,45.938098,-69.3225527,ME
Chiputneticook Lakes,45.6658971,-67.702785,ME
Cross Lake,47.1133739,-68.3247613,ME
Eagle Lake,46.3350368,-69.3644988,ME
Eagle Lake,47.049484,-68.5861558,ME
Fish River Lake,46.8247626,-68.7794903,ME
Grand Lake Seboeis,46.2917118,-68.6453202,ME
Great Pond,44.5378429,-69.8444954,ME
Kennebago Lake,45.0933865,-70.7259014,ME
Long Lake,44.036182,-70.656172,ME
Long Lake,47.2286516,-68.2772616,ME
Moosehead Lake,45.6439326,-69.6661681,ME
Munsungan Lake,46.3769846,-68.9983828,ME
Pemadumcook Lake,45.7047693,-68.9422661,ME
Rangeley Lake,44.9472774,-70.7014574,ME
Sebec Lake,45.279496,-69.2736576,ME
Seboeis Lake,45.4583838,-68.8858719,ME
Spednic Lake,45.6092324,-67.6183372,ME
Square Lake,47.0592073,-68.3561505,ME
Grand Lake,45.6981175,-67.8088997,ME
Black Lake,45.4666782,-84.2666864,MI
Coldwater Lake,41.8231051,-84.9755196,MI
Crystal Lake,44.6591655,-86.1564824,MI
Fife Lake,44.5677832,-85.3447797,MI
Fletcher Pond,44.9827876,-83.8427695,MI
Glen Lake,44.8719406,-85.9795359,MI
Grand Lake,45.3000147,-83.4999815,MI
Gull Lake,42.3997609,-85.4113935,MI
Gun Lake,42.6008675,-85.5219595,MI
Higgins Lake,44.4750164,-84.7166945,MI
Hubbard Lake,44.8041784,-83.5594217,MI
Lake Leelanau,44.8999996,-85.7167496,MI
Long Lake,45.2000138,-83.4833124,MI
Lake Macatawa,42.7791895,-86.1644865,MI
Manistique Lake,46.2333183,-85.7834544,MI
Lake Michigamme,46.4843815,-88.0720796,MI
Mullett Lake,45.5361221,-84.5167026,MI
Munuscong Lake,46.2000183,-84.1666928,MI
Lake Nicolet,46.416687,-84.2416996,MI
Lake Orion,42.7822531,-83.2502171,MI
Portage Lake,47.0663167,-88.4970675,MI
Lake Saint Helen,44.3641856,-84.4633494,MI
Sand Lake,43.291694,-85.5192025,MI
South Manistique Lake,46.1749856,-85.7626162,MI
Torch Lake,47.1582595,-88.4251187,MI
Torch Lake,44.9833365,-85.308401,MI
Walled Lake,42.5205892,-83.4827143,MI
Elk Lake,44.8666694,-85.383402,MI
Burt Lake,45.466678,-84.666707,MI
Lake Charlevoix,45.2666749,-85.1333935,MI
Lake Superior,47.4993504,-88.0006601,MI
Walloon Lake,45.2858421,-85.0183874,MI
Hamlin Lake,44.0677817,-86.4592518,MI
Indian Lake,45.9916375,-86.333479,MI
Portage Lake,44.3600017,-86.240366,MI
Lake Michigan,43.6847279,-86.5303578,MI
Lake George,46.4500198,-84.1333601,MI
Lake Huron,44.0833438,-82.7916067,MI
Lake Saint Clair,42.4167031,-82.6665704,MI
Bald Eagle Lake,45.1144109,-93.0157737,MN
Big Marine Lake,45.218578,-92.8532682,MN
Big Pine Lake,46.6166267,-95.500317,MN
Bingham Lake,43.9207905,-95.0472124,MN
Green Lake,45.2541309,-94.8944522,MN
Heron Lake,43.7974588,-95.2863861,MN
Lake Lida,46.5824591,-95.9703309,MN
Lake Lizzie,46.6132922,-95.9883869,MN
Lower Red Lake,47.9596794,-95.2744491,MN
Maple Lake,45.2321873,-93.966088,MN
Medicine Lake,45.0071863,-93.4202303,MN
Mille Lacs Lake,46.23329,-93.6502459,MN
Lake Minnetonka,44.9149628,-93.6413485,MN
Lake Minnewaska,45.6057944,-95.4605933,MN
Lake Osakis,45.8930193,-95.120307,MN
Pelican Lake,46.5732979,-94.1808241,MN
Pokegama Lake,45.8416233,-93.0385446,MN
Rush Lake,46.4882935,-95.5325413,MN
Lake Saint Croix,44.9366342,-92.7557586,MN
Lake Shetek,44.1155169,-95.6930672,MN
Swan Lake,44.3066327,-94.2477444,MN
Thief Lake,48.4833042,-95.883615,MN
Upper Red Lake,48.1249637,-94.75025,MN
Lake of the Woods,49.2499954,-94.7502246,MN
Ball Club Lake,47.3602303,-93.9471664,MN
Basswood Lake,48.0748932,-91.5751196,MN
Lake Bemidji,47.4718967,-94.8763876,MN
Bowstring Lake,47.5407827,-93.9029911,MN
Ham Lake,45.2585765,-93.2221719,MN
Leech Lake,47.0944018,-94.5438804,MN
Otter Tail Lake,46.3999602,-95.6586562,MN
Saganaga Lake,48.2498877,-90.9167745,MN
Birch Lake,47.7332472,-91.8668212,MN
Crooked Lake,48.2373976,-91.9065193,MN
Kabetogama Lake,48.5318643,-93.0876463,MN
Namakan Lake,48.4415727,-92.6001541,MN
Nett Lake,48.1199248,-93.12211,MN
Pelican Lake,48.058251,-92.900169,MN
Rainy Lake,48.6249167,-93.0001405,MN
Seven Beaver Lake,47.500753,-91.8054442,MN
Trout Lake,47.9762981,-92.3057008,MN
Vermilion Lake,47.8915813,-92.3668243,MN
Lac la Croix,48.3436111,-92.1227778,MN
Lake of the Woods,49.083328,-95.0013424,MN
Spanish Lake,38.7972716,-90.2034436,MO
Lake Cormorant,34.8878749,-90.2137062,MS
Horn Lake,34.9778724,-90.1653719,MS
Alkali Lake,48.4088666,-112.4611619,MT
Benton Lake,47.6655159,-111.3274686,MT
Lake Bowdoin,48.4127748,-107.6834398,MT
Bowman Lake,48.8666403,-114.1645777,MT
Chain of Lakes,48.6513867,-110.0574312,MT
Duck Lake,48.8713713,-113.3323197,MT
Ennis Lake,45.4310389,-111.6799731,MT
Four Horns Lake,48.3499724,-112.7122825,MT
Freezeout Lake,47.6666181,-112.0508404,MT
Lower Saint Mary Lake,48.7902573,-113.4212109,MT
Saint Mary Lake,48.6949755,-113.4998246,MT
Upper Waterton Lake,49.0499819,-113.900953,MT
Wild Horse Lake,48.9605654,-110.0515933,MT
Ashley Lake,48.2044038,-114.6165276,MT
Big Lake,47.6321944,-110.4032619,MT
Buffalo Lake,48.8583189,-112.7359106,MT
Cliff Lake,44.7732557,-111.5527407,MT
Echo Lake,48.1257897,-114.0420576,MT
Kingsbury Lake,47.57025,-110.3585393,MT
Kintla Lake,48.9646964,-114.3026404,MT
Little Bitterroot Lake,48.1135653,-114.7159678,MT
Lower Red Rock Lake,44.6365827,-111.8449722,MT
Lake Mary Ronan,47.9266127,-114.3992936,MT
Lake McDonald,48.5691354,-113.9362298,MT
McGregor Lake,48.0382828,-114.8426363,MT
Placid Lake,47.1191008,-113.5242488,MT
Seeley Lake,47.1943797,-113.5125799,MT
Thompson Lakes,48.036892,-115.0832073,MT
Upper Red Rock Lake,44.6149175,-111.7316318,MT
White Lake,47.6880281,-110.4274286,MT
Whitefish Lake,48.4535762,-114.3795794,MT
East Lake,35.9418294,-75.87852,NC
Lake Mattamuskeet,35.499336,-76.1765807,NC
New Lake,35.6434997,-76.3429802,NC
Phelps Lake,35.7723871,-76.4543771,NC
Pungo Lake,35.7162758,-76.5504901,NC
Lake Waccamaw,34.2876685,-78.5086205,NC
White Lake,34.6410046,-78.4983402,NC
Dry Lake,48.26528,-98.9773524,ND
Horsehead Lake,47.0383207,-99.7892728,ND
Hurricane Lake,48.4416653,-99.5134715,ND
Lake Alice,48.3358344,-99.1179119,ND
McKenna Lake,46.4877585,-99.8073307,ND
Rock Lake,48.8266734,-99.2051361,ND
Sweetwater Lake,48.2166697,-98.8226214,ND
Devils Lake,48.0280551,-98.9315099,ND
Massabesic Lake,42.9973067,-71.3731207,NH
Newfound Lake,43.6628507,-71.774802,NH
Umbagog Lake,44.7569964,-71.0486877,NH
Lake Winnipesaukee,43.5989661,-71.3225703,NH
Sunapee Lake,43.3759082,-72.0559183,NH
Squam Lake,43.7453511,-71.5256305,NH
Lake Grinnell,41.0989856,-74.6373839,NJ
Mountain Springs Lake,41.037875,-74.3823747,NJ
Lake Lucero,32.7009183,-106.4394426,NM
Playas Lake,31.8417615,-108.5772704,NM
Salt Lake,32.3120663,-103.9932702,NM
Alkali Lakes,32.0323343,-105.047454,NM
Laguna del Perro,34.6945071,-105.9661258,NM
Artesia Lake,38.9415806,-119.3618261,NV
Carson Lake,39.3210307,-118.7037576,NV
Frenchman Lake,36.8046769,-115.9386408,NV
Groom Lake,37.2680112,-115.800308,NV
High Rock Lake,41.2890635,-119.2829668,NV
Mud Lake,37.8693789,-117.0714634,NV
Summit Lake,41.5087874,-119.063521,NV
